"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2,J3";"Anderson_Powerpole-staple-Nx2";2;"Conn_01x02_Female";;;
2;"Q5";"TO-220-3_Vertical";1;"IRF9540N";;;
3;"C1";"CP_Elec_6.3x5.4";1;"47u";;;
4;"C2,C3,C4";"C_0805_2012Metric";3;"0.1u";;;
5;"D1,D3";"D_SOD-123";2;"1N4148W";;;
6;"D2";"SOT-23";1;"BZX84C5V1LT1G";;;
7;"D4";"LED_0805_2012Metric_Castellated";1;"LED";;;
8;"D5,D6";"D_MELF";2;"SM4001";;;
9;"J1";"TerminalBlock_bornier-5_P5.08mm";1;"Screw_Terminal_01x05";;;
10;"Q1";"SOT-23";1;"MMBT3904";;;
11;"Q3,Q4";"SOT-23";2;"MMBF170";;;
12;"R1";"R_0805_2012Metric";1;"22k";;;
13;"R2,R3";"R_0805_2012Metric";2;"4k7";;;
14;"R4";"R_0805_2012Metric";1;"1k";;;
15;"R5";"R_0805_2012Metric";1;"10k";;;
16;"Q2";"TO-252-3_TabPin2";1;"SiHFR320";;;
17;"HS1";"Heatsink_Fischer_SK104-STC-STIC_35x13mm_2xDrill2.5mm";1;"Heatsink";;;
18;"MH1,MH2,MH3,MH4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
